"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","10uF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"C2","100nF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","1","","",""
"J1,J2","Conn_01x05","Library:PinHeader_1x03_P2.54mm_Vertical","~","2","","",""
"J3","Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","1","","",""
"J4","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","1","","",""
"R1,R4,R5","100K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","3","","",""
"R2","600K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"R3","200K","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","1","","",""
"U1","MAX98357A","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf","1","","",""
